episode,reward,length
783,1030.0,100
784,1107.0,100
785,1100.0,100
786,1117.0,100
787,925.0,100
788,965.0,100
789,1045.0,100
790,977.0,100
791,875.0,100
792,955.0,100
793,1065.0,100
794,1140.0,100
795,1065.0,100
796,1082.0,100
797,982.0,100
798,1005.0,100
799,1057.0,100
800,1085.0,100
801,1165.0,100
802,897.0,100
803,917.0,100
804,1042.0,100
805,997.0,100
806,1107.0,100
807,994.0,100
808,1135.0,100
809,1044.0,100
810,980.0,100
811,952.0,100
812,1080.0,100
813,1155.0,100
814,980.0,100
815,1025.0,100
816,1125.0,100
817,1090.0,100
818,985.0,100
819,1092.0,100
820,1077.0,100
821,1012.0,100
822,1085.0,100
823,1115.0,100
824,1105.0,100
825,1045.0,100
826,950.0,100
827,950.0,100
828,1035.0,100
829,917.0,100
830,1050.0,100
831,1115.0,100
832,1010.0,100
833,1049.0,100
834,1165.0,100
835,1080.0,100
836,995.0,100
837,904.0,100
838,1220.0,100
839,1040.0,100
840,1065.0,100
841,1000.0,100
842,1014.0,100
843,1025.0,100
844,1010.0,100
845,1065.0,100
846,1110.0,100
847,1000.0,100
848,1025.0,100
849,1047.0,100
850,950.0,100
851,1110.0,100
852,930.0,100
853,1105.0,100
854,1110.0,100
855,1005.0,100
856,1042.0,100
857,862.0,100
858,1120.0,100
859,1090.0,100
860,992.0,100
861,1110.0,100
862,1019.0,100
863,1027.0,100
864,1165.0,100
865,1060.0,100
866,1215.0,100
867,1105.0,100
868,1055.0,100
869,1075.0,100
870,1235.0,100
871,990.0,100
872,1170.0,100
873,950.0,100
874,902.0,100
875,1115.0,100
876,965.0,100
877,945.0,100
878,1006.0,100
879,1222.0,100
880,932.0,100
881,742.0,100
882,1060.0,100
883,902.0,100
884,1020.0,100
885,812.0,100
886,910.0,100
887,1070.0,100
888,1147.0,100
889,900.0,100
890,1035.0,100
891,1109.0,100
892,990.0,100
893,1145.0,100
894,979.0,100
895,1150.0,100
896,1160.0,100
897,925.0,100
898,1090.0,100
899,1160.0,100
900,1000.0,100
901,1035.0,100
902,985.0,100
903,1037.0,100
904,1000.0,100
905,975.0,100
906,965.0,100
907,1070.0,100
908,889.0,100
909,1114.0,100
910,905.0,100
911,1020.0,100
912,1015.0,100
913,1235.0,100
914,1140.0,100
915,1135.0,100
916,1090.0,100
917,1030.0,100
918,885.0,100
919,1100.0,100
920,990.0,100
921,980.0,100
922,1012.0,100
923,1032.0,100
924,1080.0,100
925,1070.0,100
926,1135.0,100
